home_team,away_team,date,home_win_prob,home_win
KC,BAL,2024-09-05,0.5677803511632284,1
GB,PHI,2024-09-06,0.5366674628078111,0
ATL,PIT,2024-09-08,0.4990583872074201,0
BUF,ARI,2024-09-08,0.6264174602314954,1
CHI,TEN,2024-09-08,0.5865448290275874,1
CIN,NE,2024-09-08,0.5881956766579729,0
MIA,JAX,2024-09-08,0.5865462860032316,1
NO,CAR,2024-09-08,0.6735375015541977,1
LAC,LV,2024-09-08,0.534635704048906,1
SEA,DEN,2024-09-08,0.5696530451162303,1
CLE,DAL,2024-09-08,0.4981884257330321,0
TB,WSH,2024-09-08,0.6229091444298613,1
DET,LAR,2024-09-08,0.5900251230757936,1
SF,NYJ,2024-09-09,0.6192629283151438,1
MIA,BUF,2024-09-12,0.4928320190647013,0
BAL,LV,2024-09-15,0.5953275452011594,0
DAL,NO,2024-09-15,0.5260490491491212,0
DET,TB,2024-09-15,0.5414976380104475,0
JAX,CLE,2024-09-15,0.5242088388228698,0
WSH,NYG,2024-09-15,0.541130139962341,1
ARI,LAR,2024-09-15,0.5429028311314954,1
KC,CIN,2024-09-15,0.5910801622106328,1
HOU,CHI,2024-09-15,0.570586331094633,1
PHI,ATL,2024-09-16,0.637701228467328,0
NYJ,NE,2024-09-19,0.5806731717273337,1
CLE,NYG,2024-09-22,0.5666644518111571,0
IND,CHI,2024-09-22,0.5540352056873836,1
NO,PHI,2024-09-22,0.550398047975255,0
PIT,LAC,2024-09-22,0.5985207989320416,1
TB,DEN,2024-09-22,0.5808897811856663,0
TEN,GB,2024-09-22,0.4528747502852863,0
LV,CAR,2024-09-22,0.6053340099795086,0
SEA,MIA,2024-09-22,0.5563173060732741,1
BUF,JAX,2024-09-23,0.634698205799122,1
CIN,WSH,2024-09-23,0.6109914227401861,0
ATL,NO,2024-09-29,0.4751157792993495,1
CHI,LAR,2024-09-29,0.5702207686747821,1
GB,MIN,2024-09-29,0.6086673550103876,0
HOU,JAX,2024-09-29,0.587603381174181,1
NYJ,DEN,2024-09-29,0.5456136554475441,0
ARI,WSH,2024-09-29,0.5402179752432428,0
SF,NE,2024-09-29,0.644231679899345,1
BAL,BUF,2024-09-29,0.5348657174334991,1
MIA,TEN,2024-09-30,0.5784466604248029,0
DET,SEA,2024-09-30,0.6092260687888886,1
ATL,TB,2024-10-03,0.5151804479674718,1
NYJ,MIN,2024-10-06,0.5515000065231793,0
CHI,CAR,2024-10-06,0.6143033684442597,1
HOU,BUF,2024-10-06,0.5137769275124335,1
JAX,IND,2024-10-06,0.576401782356147,1
WSH,CLE,2024-10-06,0.6022036313421835,1
DEN,LV,2024-10-06,0.562119582282438,1
SF,ARI,2024-10-06,0.6321507576287955,0
SEA,NYG,2024-10-06,0.5636253911697464,0
PIT,DAL,2024-10-06,0.5288862000624617,0
KC,NO,2024-10-07,0.6039523808345184,1
CHI,JAX,2024-10-13,0.5878664868460848,1
BAL,WSH,2024-10-13,0.6276622437508932,1
GB,ARI,2024-10-13,0.6383628127745534,1
PHI,CLE,2024-10-13,0.6232189922311995,1
TEN,IND,2024-10-13,0.5155867245638268,0
NE,JAX,2024-10-20,0.517445900885175,0
ATL,SEA,2024-10-20,0.5271074150094552,0
BUF,TEN,2024-10-20,0.6362435766140173,1
GB,HOU,2024-10-20,0.5682736096799839,1
IND,MIA,2024-10-20,0.5952306166294857,1
MIN,DET,2024-10-20,0.536106311009942,0
LAR,LV,2024-10-20,0.5788970998116529,1
WSH,CAR,2024-10-20,0.6118158142554558,1
SF,KC,2024-10-20,0.5149786976459878,0
CIN,PHI,2024-10-27,0.5036848641243515,0
DET,TEN,2024-10-27,0.6098319704205545,1
HOU,IND,2024-10-27,0.570616444463326,1
MIA,ARI,2024-10-27,0.5574990071437821,0
LAC,NO,2024-10-27,0.5608300069290424,1
DEN,CAR,2024-10-27,0.6487260814276112,1
WSH,CHI,2024-10-27,0.5728546077314042,1
SF,DAL,2024-10-27,0.5683772741164602,1
PIT,NYG,2024-10-28,0.5934653027029146,1
NYJ,HOU,2024-10-31,0.5572788949994396,1
ATL,DAL,2024-11-03,0.5011308438791363,1
BAL,DEN,2024-11-03,0.6169997444671426,1
BUF,MIA,2024-11-03,0.6510173552860367,1
CIN,LV,2024-11-03,0.594830668450391,1
TEN,NE,2024-11-03,0.5656141718667771,1
ARI,CHI,2024-11-03,0.5483038474280211,1
PHI,JAX,2024-11-03,0.6358558393819174,1
MIN,IND,2024-11-03,0.5585399771397472,1
KC,TB,2024-11-04,0.6520432130668457,1
BAL,CIN,2024-11-07,0.6298530152409734,1
CAR,NYG,2024-11-10,0.5151814428430717,1
CHI,NE,2024-11-10,0.5768334630367096,0
KC,DEN,2024-11-10,0.6277609606093205,1
WSH,PIT,2024-11-10,0.5619580804600426,0
LAC,TEN,2024-11-10,0.6145284542078249,1
LAR,MIA,2024-11-11,0.5611780689524741,0
PHI,WSH,2024-11-14,0.6044444228905212,1
DET,JAX,2024-11-17,0.6295262408710349,1
MIA,LV,2024-11-17,0.561711337709955,1
NYJ,IND,2024-11-17,0.511450399025043,0
DEN,ATL,2024-11-17,0.6025226682573007,1
SF,SEA,2024-11-17,0.5808246358050909,0
BUF,KC,2024-11-17,0.5667356592711976,1
LAC,CIN,2024-11-17,0.6071386547315623,1
HOU,TEN,2024-11-24,0.5894945877721971,0
MIA,NE,2024-11-24,0.5942985400945601,1
WSH,DAL,2024-11-24,0.5219627103817412,0
GB,SF,2024-11-24,0.5867088651737732,1
DET,CHI,2024-11-28,0.6323012190687969,1
DAL,NYG,2024-11-28,0.6205382803108079,1
GB,MIA,2024-11-28,0.6281631977602018,1
KC,LV,2024-11-29,0.6633872938492908,1
CIN,PIT,2024-12-01,0.502383233384617,0
MIN,ARI,2024-12-01,0.578942862516183,1
NYJ,SEA,2024-12-01,0.5184147498311802,0
WSH,TEN,2024-12-01,0.5963357903343899,1
BAL,PHI,2024-12-01,0.5458072630555517,0
BUF,SF,2024-12-01,0.6059791263300143,1
DEN,CLE,2024-12-02,0.6242682180919616,1
DET,GB,2024-12-05,0.570563734565528,1
MIA,NYJ,2024-12-08,0.5930090858923124,1
MIN,ATL,2024-12-08,0.6034502292662042,1
NYG,NO,2024-12-08,0.5035978783474787,0
PHI,CAR,2024-12-08,0.6491371079962369,1
PIT,CLE,2024-12-08,0.6137277794505106,1
TB,LV,2024-12-08,0.6151090503992077,1
TEN,JAX,2024-12-08,0.4882257433887987,0
ARI,SEA,2024-12-08,0.5194909431118481,0
SF,CHI,2024-12-08,0.5990852831304264,1
KC,LAC,2024-12-08,0.6341622062597887,1
SF,LAR,2024-12-12,0.5817643430768855,0
CAR,DAL,2024-12-15,0.4473916815707365,0
HOU,MIA,2024-12-15,0.581789805249538,1
ARI,NE,2024-12-15,0.5733247083882655,1
DEN,IND,2024-12-15,0.6154944447523192,1
DET,BUF,2024-12-15,0.5353647643548228,0
LAC,TB,2024-12-15,0.5313507498859293,0
PHI,PIT,2024-12-15,0.6110996245020155,1
MIN,CHI,2024-12-16,0.6198538837585551,1
LAC,DEN,2024-12-19,0.5321039370207952,1
KC,HOU,2024-12-21,0.6468995352199595,1
BAL,PIT,2024-12-21,0.5971149761880504,1
ATL,NYG,2024-12-22,0.5762735136492507,1
BUF,NE,2024-12-22,0.6647356200829166,1
CIN,CLE,2024-12-22,0.5955536384917332,1
IND,TEN,2024-12-22,0.597339542599371,1
LV,JAX,2024-12-22,0.5688046082831275,1
GB,NO,2024-12-23,0.6021424500634532,1
CIN,DEN,2024-12-28,0.5748229969390901,1
LAR,ARI,2024-12-28,0.574220337392386,1
BUF,NYJ,2024-12-29,0.6573337241762724,1
JAX,TEN,2024-12-29,0.6025255632919411,1
PHI,DAL,2024-12-29,0.6092331000682112,1
TB,CAR,2024-12-29,0.652034680903768,1
MIN,GB,2024-12-29,0.5263012840678687,1
WSH,ATL,2024-12-29,0.5990462191507969,1
BAL,CLE,2025-01-04,0.6423010108575051,1
ATL,CAR,2025-01-05,0.5704534091224993,0
GB,CHI,2025-01-05,0.6627422276838721,0
IND,JAX,2025-01-05,0.5761709311657437,1
PHI,NYG,2025-01-05,0.6608115919679793,1
TB,NO,2025-01-05,0.5949265516479598,1
TEN,HOU,2025-01-05,0.4936132557886977,0
ARI,SF,2025-01-05,0.5308876846534892,1
DEN,KC,2025-01-05,0.5279289523585562,1
NYJ,MIA,2025-01-05,0.549586336352016,1
DET,MIN,2025-01-05,0.5740889454172902,1
BALTIMORE RAVENS (3),PITTSBURGH STEELERS (6),2025-01-11,0.5924996333568213,1
BUFFALO BILLS (2),DENVER BRONCOS (7),2025-01-12,0.5835693731444309,1
PHILADELPHIA EAGLES (2),GREEN BAY PACKERS (7),2025-01-12,0.5761919909271119,1
TAMPA BAY BUCCANEERS (3),WASHINGTON COMMANDERS (6),2025-01-12,0.5366787608489764,0
LOS ANGELES RAMS (4),MINNESOTA VIKINGS (5),2025-01-13,0.6073240842186686,1
KANSAS CITY CHIEFS (1),HOUSTON TEXANS (4),2025-01-18,0.595788847143132,1
DETROIT LIONS (1),WASHINGTON COMMANDERS (6),2025-01-18,0.5256319283911238,0
PHILADELPHIA EAGLES (2),LOS ANGELES RAMS (4),2025-01-19,0.5407074361524251,1
PHILADELPHIA EAGLES (2),WASHINGTON COMMANDERS (6),2025-01-26,0.5674143712991415,1
KANSAS CITY CHIEFS (1),BUFFALO BILLS (2),2025-01-26,0.6049279653634189,1
PHILADELPHIA EAGLES (2),KANSAS CITY CHIEFS (1),2025-02-09,0.5770299278928314,1
